id,title,genre,description,release_year,user_rating,mental_health_tags,sentiment_score
950396,The Gorge,"[10749, 878, 53]","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",2025,7.8,resilience|trauma healing,0.89
1064213,Anora,"[18, 35, 10749]","A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",2024,7.095,trauma healing|resilience,0.8
762509,Mufasa: The Lion King,"[12, 10751, 16]","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024,7.466,trauma healing|resilience,0.71
1241982,Moana 2,"[16, 12, 10751, 35]","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024,7.2,trauma healing|resilience,0.85
939243,Sonic the Hedgehog 3,"[28, 878, 35, 10751]","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024,7.7,trauma healing|resilience,0.43
1126166,Flight Risk,"[28, 53, 80]","A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",2025,6.0,resilience|trauma healing,0.71
927342,Amaran,"[28, 18, 12, 10752]","A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",2024,7.4,resilience|trauma healing,0.36
426889,Le Clitoris,"[16, 99]","Women are lucky, they get to have the only organ in the human body dedicated exclusively for pleasure: the clitoris! In this humorous and instructive animated documentary, find out its unrecognized anatomy and its unknown herstory.",2016,7.1,trauma healing|resilience,0.35
696506,Mickey 17,"[878, 35, 12]","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",2025,7.1,resilience|trauma healing,0.75
926670,Henry Danger: The Movie,"[28, 35, 10751, 878]","Henry Hart meets a superfan—eager to fight crime with Kid Danger—who comes into possession of a device that can open up alternate realities. Facing a wild ride, Henry will need his best friend Jasper and his new superfan sidekick to find his way out or be stuck in another dimension forever.",2025,8.225,trauma healing|resilience,0.37
1160956,Panda Plan,"[28, 35]","International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",2024,7.027,trauma healing|resilience,0.74
822119,Captain America: Brave New World,"[28, 53, 878]","After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",2025,6.2,resilience|trauma healing,0.37
912649,Venom: The Last Dance,"[28, 878, 12]","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024,6.792,resilience|trauma healing,0.9
539972,Kraven the Hunter,"[28, 12, 53]","Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2024,6.672,trauma healing|resilience,0.37
558449,Gladiator II,"[28, 12, 18]","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",2024,6.768,resilience|trauma healing,0.49
823219,Flow,"[16, 14, 12]","A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024,8.32,resilience|trauma healing,0.89
1405338,Demon City,"[28, 80, 14, 53]","Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.",2025,6.7,trauma healing|resilience,0.46
1188104,The X-Treme Riders,"[28, 80]","A fast-paced action drama about siblings desperately needing money for their mother's treatment. Then the brother, who is the stunt performer, inevitably needs to be involved with.",2023,8.5,trauma healing|resilience,0.84
1064486,Memoir of a Snail,"[16, 18, 35]","Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",2024,7.812,resilience|trauma healing,0.77
774370,Dog Man,"[10751, 16, 35, 28]","When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",2025,7.7,trauma healing|resilience,0.54
1226406,Love Hurts,"[28, 35, 10749]","A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",2025,6.0,resilience|trauma healing,0.91
1140535,Presence,"[27, 18]","A couple, Rebekah and Chris, and their children, Tyler and Chloe, move into a seemingly normal suburban home. When strange occurrences occur, they begin to believe that there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",2025,6.0,trauma healing|resilience,0.62
1357633,Solo Leveling -ReAwakening-,"[28, 12, 14, 16]","Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",2024,6.866,resilience|trauma healing,0.94
1084199,Companion,"[27, 878, 53]","During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",2025,7.0,resilience|trauma healing,0.42
549509,The Brutalist,[18],"Escaping post-war Europe, visionary architect László Toth arrives in America to rebuild his life. On his own in a strange new country, a wealthy industrialist recognizes his talent. But power and legacy come at a heavy cost...",2024,7.099,trauma healing|resilience,0.33
974576,Conclave,"[18, 53, 9648]","After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",2024,7.159,resilience|trauma healing,0.91
1294203,My Fault: London,"[10749, 18]","18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",2025,7.5,resilience|trauma healing,0.92
1230208,Squad 36,"[28, 80, 18, 53]","Forced out of his elite unit, a troubled cop launches his own rogue investigation when mysterious killings claim the lives of his former colleagues.",2025,6.661,trauma healing|resilience,0.84
402431,Wicked,"[18, 10749, 14]","In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",2024,6.9,resilience|trauma healing,0.41
1201012,Dhoom Dhaam,"[35, 10749, 28]","On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""",2025,6.5,trauma healing|resilience,0.37
1184918,The Wild Robot,"[16, 878, 10751]","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024,8.336,trauma healing|resilience,0.73
519182,Despicable Me 4,"[16, 10751, 35, 878]","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024,7.058,resilience|trauma healing,0.79
1138749,The Island,"[28, 80, 53]","When his brother is killed, LAPD officer Mark leaves the city to return to the island he grew up on. Seeking answers and ultimately vengeance, he soon finds himself in a bloody battle with the corrupt tycoon who's taken over the island paradise.",2023,6.1,trauma healing|resilience,0.69
993710,Back in Action,"[28, 35]","Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",2025,6.479,resilience|trauma healing,0.57
1410082,Sniper: The Last Stand,"[28, 53]","To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.",2025,6.7,trauma healing|resilience,0.4
1035048,Elevation,"[28, 878, 53]",A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,2024,6.492,trauma healing|resilience,0.35
933260,The Substance,"[27, 878]","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2024,7.136,resilience|trauma healing,0.64
1022789,Inside Out 2,"[16, 12, 35, 10751]","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024,7.559,resilience|trauma healing,0.45
1164355,Lembayung,"[27, 53]","Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.",2024,7.8,resilience|trauma healing,0.63
516729,Paddington in Peru,"[10751, 12, 35]","Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru.",2024,6.8,trauma healing|resilience,0.52
839033,The Lord of the Rings: The War of the Rohirrim,"[16, 14, 12, 28]","A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",2024,6.7,resilience|trauma healing,0.95
1255788,The Gardener,"[28, 35]","Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.",2025,6.3,trauma healing|resilience,0.35
1352774,Piglet,[27],"On Kate's 21st birthday camping trip, her friends encounter Piglet, a monstrous human-pig hybrid who brutally murders one of them. They uncover Piglet's origins and Kate must confront her past to survive the relentless killer.",2025,5.7,resilience|trauma healing,0.44
1249289,Alarum,"[28, 80, 53]","Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",2025,5.736,resilience|trauma healing,0.51
974576,Conclave,"[18, 53, 9648]","After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",2024,7.2,trauma healing|resilience,0.43
710295,Wolf Man,"[27, 53]","With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",2025,6.467,trauma healing|resilience,0.45
1294203,My Fault: London,"[10749, 18]","18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",2025,7.5,resilience|trauma healing,0.75
1422179,The Wrong Track,"[35, 18]","When chaotic single mother Emilie hits a new low, she looks to her brother for help. He has a brilliant plan: to enter a cross-country ski marathon.",2025,6.357,resilience|trauma healing,0.55
573435,Bad Boys: Ride or Die,"[28, 35, 80, 53, 12]","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024,7.4,trauma healing|resilience,0.75
1043905,Dirty Angels,"[28, 18, 53, 10752]","During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",2024,6.2,resilience|trauma healing,0.39
1356039,Counterattack,"[28, 12, 53]","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",2025,8.675,trauma healing|resilience,0.83
921436,Escape,"[28, 18]","After completing his required decade of military service and being honored as a hero, a North Korean sergeant makes a sudden shocking attempt to defect to the South, risking life and limb for the chance to finally determine his own destiny.",2024,7.2,resilience|trauma healing,0.45
1006724,Dead Talents Society,"[27, 35, 53]",Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.,2024,6.9,resilience|trauma healing,0.59
717196,Niko: Beyond the Northern Lights,"[16, 10751, 14]","Niko the reindeer joins his father in Santa's Flying Forces, but when Santa's sleigh is stolen by an acquaintance, Niko must find it in time for Christmas.",2024,7.6,resilience|trauma healing,0.62
1097549,Babygirl,[18],A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,2024,5.8,trauma healing|resilience,0.53
1138749,The Island,"[28, 80, 53]","When his brother is killed, LAPD officer Mark leaves the city to return to the island he grew up on. Seeking answers and ultimately vengeance, he soon finds himself in a bloody battle with the corrupt tycoon who's taken over the island paradise.",2023,6.1,trauma healing|resilience,0.86
993710,Back in Action,"[28, 35]","Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",2025,6.476,trauma healing|resilience,0.83
157336,Interstellar,"[12, 18, 878]",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014,8.452,trauma healing|resilience,0.9
385687,Fast X,"[28, 80, 53, 12, 9648]","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",2023,7.1,trauma healing|resilience,0.82
533535,Deadpool & Wolverine,"[28, 35, 878]","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2024,7.618,resilience|trauma healing,0.52
1422179,The Wrong Track,"[35, 18]","When chaotic single mother Emilie hits a new low, she looks to her brother for help. He has a brilliant plan: to enter a cross-country ski marathon.",2025,6.357,trauma healing|resilience,0.8
573435,Bad Boys: Ride or Die,"[28, 35, 80, 53, 12]","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024,7.4,trauma healing|resilience,0.48
1147416,"Miraculous World, London: At the Edge of Time","[16, 12, 28, 14]","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",2024,7.277,trauma healing|resilience,0.47
808,Shrek,"[16, 35, 14, 12, 10751]","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",2001,7.747,resilience|trauma healing,0.4
1043905,Dirty Angels,"[28, 18, 53, 10752]","During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",2024,6.2,trauma healing|resilience,0.74
1118031,Apocalypse Z: The Beginning of the End,"[18, 28, 27]","When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",2024,6.717,resilience|trauma healing,0.41
1124620,The Monkey,"[27, 35]","When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",2025,6.0,resilience|trauma healing,0.79
299536,Avengers: Infinity War,"[12, 28, 878]","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018,8.2,trauma healing|resilience,0.86
921436,Escape,"[28, 18]","After completing his required decade of military service and being honored as a hero, a North Korean sergeant makes a sudden shocking attempt to defect to the South, risking life and limb for the chance to finally determine his own destiny.",2024,7.2,trauma healing|resilience,0.53
1006724,Dead Talents Society,"[27, 35, 53]",Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.,2024,6.9,resilience|trauma healing,0.73
995926,"I, the Executioner","[28, 80]","The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.",2024,7.1,trauma healing|resilience,0.72
